Latitude,Longitude,Cluster,Weighted Safety Score
19.26200445412915,72.85437725531854,1,6.75
19.25662362825594,72.86236276085506,0,3.0
19.237097833550862,72.86857169452689,0,2.75
19.24682489621573,72.85754812024808,0,3.0
19.22314895277891,72.84539221674387,2,5.25
19.25451717336648,72.83651914276024,0,3.75
19.26278625626372,72.8520340343301,2,4.5
19.226726962763067,72.84913131132627,2,4.25
19.228638377604312,72.83610009882524,1,6.75
19.24579481494503,72.86406240122797,0,2.25
19.23190788661853,72.85469166306146,0,2.0
19.248345905722047,72.83549428210755,0,3.75
19.23583747645254,72.85112439452364,2,5.5
19.23484813594,72.85243117580913,2,5.5
19.26529774834347,72.85781135334821,2,4.75
19.22264891026472,72.86644457164665,1,7.0
19.261664024849274,72.85123092104645,2,4.25
19.21421606674184,72.84120046308712,1,7.25
19.249042146109883,72.84676052714393,0,3.25
19.253311414120688,72.86034190217049,1,6.5
19.23720646516019,72.86604090561814,1,8.5
19.22151258355859,72.8418070578748,2,5.25
19.249939038630263,72.86523546777667,1,8.0
19.259628307296577,72.8370540438909,0,2.25
19.245600254929272,72.84418352791496,1,7.5
19.223874717726574,72.86314770694419,2,6.0
19.24617999805024,72.86100231686228,1,8.25
19.266427873785755,72.86249329230802,2,4.5
19.228249270864936,72.84943693858963,2,5.25
19.21588484793684,72.84265297573562,0,3.5
19.251339018236465,72.85125375465745,2,5.5
19.255992313171525,72.83825190674392,2,6.0
19.25632248833613,72.842806501852,2,5.25
19.26179082094681,72.84345692326627,2,5.5
19.229531995824544,72.86400528734173,0,3.5
19.22939361551637,72.84191941620797,0,3.25
19.24569201257212,72.86552060656695,2,5.25
19.23095334288224,72.86597614168387,2,6.0
19.240970612402723,72.86272910678763,1,7.5
19.25833619274806,72.85373037290027,1,6.25
19.24862734700256,72.85710674458177,1,6.75
19.24902719753052,72.84562061746641,2,4.0
19.268706686457307,72.84848719143484,1,8.25
19.243695503805903,72.84643046930657,2,4.75
19.264575697811345,72.85472533451843,2,5.5
19.213351639410423,72.84970733966946,2,4.25
19.254587186411086,72.84390189270768,0,2.5
19.231468668232857,72.85778413327336,2,5.0
19.23866886335704,72.84402558335582,0,1.5
19.24636631022388,72.86010268839972,2,5.75
19.230902413572053,72.85692637291795,2,6.0
19.21001695656877,72.8595387357313,2,5.25
19.25682249070481,72.86531082209456,0,2.5
19.26240404250532,72.83945453334942,1,7.5
19.267487227694144,72.85803231755146,1,6.5
19.258796460535137,72.84284917519857,2,4.0
19.25919063933832,72.84794757754374,1,7.0
19.23208916143161,72.86593119035989,0,2.5
19.23533433401888,72.85446147199521,0,3.5
19.256350430593464,72.84783653785773,0,2.0
19.251185083490043,72.86505678282809,1,7.5
19.2188258000678,72.85722171000845,0,1.25
19.217773914695407,72.85840253756747,2,5.75
19.241039280871306,72.83602153779549,1,9.5
